   I,   II,  III,  AVR,  AVL,  AVF,   V1,   V2,   V3,   V4,   V5,   V6, RV, MapD, MapP, P 1
 -20, -55, -41,  25,   4, -48, -66, -96,-101, -75, -42, -14,  -5,-280, -17, 836
 -16, -56, -46,  23,   8, -51, -73,-100,-106, -78, -46, -19,  -3, -20,  -3, 836
 -11, -54, -48,  19,  12, -51, -80,-106,-109, -80, -51, -25,  -6, 839, -18, 835
  -9, -50, -47,  16,  13, -49, -83,-109,-110, -79, -53, -27,  -8, 227, -14, 834
  -8, -46, -44,  14,  12, -46, -81,-108,-110, -77, -50, -25,  -9,  51, -14, 834
  -7, -42, -41,  11,  10, -41, -77,-108,-108, -76, -49, -23,  -8,-229, -12, 833
  -3, -36, -39,   7,  11, -38, -72,-108,-108, -74, -48, -22,  -8,-201, -15, 832
  -3, -32, -36,   4,  10, -34, -67,-107,-108, -73, -46, -22,  -9, 192,  -5, 832
  -3, -27, -30,   2,   7, -29, -64,-107,-108, -72, -41, -21,  -9, 280, -20, 831
  -4, -22, -25,  -0,   3, -23, -61,-109,-108, -71, -42, -21,  -8, 216,   3, 830
  -4, -20, -22,  -2,   2, -21, -60,-111,-109, -72, -46, -24,  -5,-804,  14, 830
   1, -20, -27,  -4,   8, -24, -64,-112,-109, -74, -49, -26,  -5,-289,   2, 830
   6, -19, -32,  -7,  12, -26, -68,-110,-107, -73, -50, -26,  -8,-187, -31, 829
   9, -18, -34,  -9,  15, -26, -68,-108,-106, -73, -51, -26,  -8, 496, -26, 828
   7, -18, -31,  -8,  12, -24, -65,-107,-106, -72, -51, -25,  -6,  99,  -6, 828
   4, -21, -31,  -5,  11, -26, -61,-108,-108, -73, -52, -25,  -9,-110, -11, 827
   1, -27, -35,   0,  11, -31, -57,-111,-112, -77, -55, -28,  -6, 420, -15, 827
  -8, -35, -34,   9,   5, -34, -54,-111,-116, -80, -56, -28,  -9, 257,  -9, 826
 -16, -42, -32,  16,   1, -37, -53,-111,-118, -81, -56, -28,  -9,-872,  -8, 826
 -23, -47, -32,  22,  -3, -39, -49,-111,-118, -81, -56, -27,  -9,-491,  -3, 825
 -23, -48, -33,  22,  -2, -40, -48,-110,-116, -83, -58, -27,  -5,-170,   5, 825
 -15, -45, -37,  17,   4, -41, -52,-111,-115, -85, -61, -29,  -5,  33, -14, 824
  -5, -40, -41,   9,  11, -40, -60,-112,-115, -88, -65, -33,  -8, 833, -11, 824
   2, -34, -43,   2,  16, -39, -64,-111,-113, -87, -66, -37,  -8, 131,   5, 824
   7, -28, -42,  -3,  18, -36, -65,-108,-111, -84, -64, -36,  -8,  88,  -9, 823
  10, -24, -40,  -7,  18, -32, -66,-107,-107, -81, -62, -34,  -6,-124, -15, 823
